,Année,Collège,Nombre d'heures moyen de congé maternité par salariée,Nombre d'heures moyen de congé paternité par salarié,Ecart en pourcentage du temps d'absence pour congé maternité/paternité
0,2023,Cadre,31.039542588436465,4.969538852065999,0.13800793170126072
1,2023,Maîtrise,22.06273317673069,6.291417165668663,0.2218869932512419
2,2023,Exécution,26.012172284644194,7.891963109354414,0.23277287615927156
3,2022,Cadre,34.570032211485064,5.398494780286478,0.13506864492148746
4,2022,Exécution,29.880037488284913,6.452991452991453,0.1776067572957148
5,2022,Maîtrise,24.608253171615782,6.9515359070153595,0.2202656009422504
6,2021,Exécution,39.167844522968196,5.386037910309755,0.12088818338953204
7,2021,Cadre,34.76096667048448,4.377286472017053,0.11184164137524093
8,2021,Maîtrise,28.26132596685083,4.905050716302416,0.14789226942579833
9,2020,Cadre,39.13924637681159,3.0299646008874705,0.07185253246710852
10,2020,Maîtrise,26.76564813568448,3.1161871065091837,0.10428365865926047
11,2020,Exécution,35.19824840764331,3.898069151324652,0.0997042533595471
12,2019,Maîtrise,28.471883907748122,3.3325424253365656,0.10478234665939798
13,2019,Exécution,39.54032833690221,4.026173660157873,0.09241443484330149
14,2019,Cadre,41.89959934008956,2.925299153857708,0.06526058623987097
15,2018,Exécution,45.879141104294476,3.3221678584870156,0.0675219405443071
16,2018,Maîtrise,27.297551323274796,3.363155241935484,0.10968942397927478
17,2018,Cadre,42.51086827414182,2.812159079638996,0.06204702650791503
18,2017,Maîtrise,28.21151113216485,3.2515029072632307,0.10334365624312371
19,2017,Cadre,40.30977872947894,2.869905190108494,0.06646424729400646
20,2017,Exécution,58.68002195389682,3.9160441124155105,0.06256054666865127
