Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Genre;Gender;Valeur;Unité;Unit;Chapitre du bilan social
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Maîtrise;Supervisors;Femme;Female;1339.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Cadre;Managers;;;290437.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Exécution;Operatives;;;17970.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;2814.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;190209.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;87799.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;159668.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Exécution;Operatives;;;27781.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Cadre;Managers;;;105717.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Femme;Female;16329.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Femme;Female;46.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Homme;Male;611488.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Femme;Female;211553.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;122928.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Femme;Female;87884.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Homme;Male;22511.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;2347.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;2524.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;875925.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Homme;Male;184293.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;6319.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;500.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;8008.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Homme;Male;152665.0;heures;hours;§1.8.7
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Femme;Female;570831.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;1090723.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;15170.0;heures;hours;§1.8.3
2023;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2023;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;20.0;heures;hours;§1.8.7
