Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Sous-catégorie collège;Employee subcategory;Genre;Gender;Plage M3E;M3E classification;Nationalité;Nationality;Ancienneté;Seniority;Tranche d'âge;Age bracket;Valeur;Unité;Unit;Chapitre du bilan social
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;;;Moins de 25 ans;Less than 25;9.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;;;;;;;Moins de 25 ans;Less than 25;19.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;Moins de 25 ans;Less than 25;683.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;;;;;Moins de 25 ans;Less than 25;1216.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Femme;Female;;;;;;;De 25 à 35 ans;From 25 to 35;2046.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;;;;;De 25 à 35 ans;From 25 to 35;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;;;De 25 à 35 ans;From 25 to 35;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 36 à 45 ans;From 36 to 45;6465.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;;;De 36 à 45 ans;From 36 to 45;137.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 36 à 45 ans;From 36 to 45;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;;;;;;;De 46 à 55 ans;From 46 to 55;1.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;;;;;De 46 à 55 ans;From 46 to 55;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 56 à 60 ans;From 56 to 60;1266.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;889.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;;;;;De 56 à 60 ans;From 56 to 60;66.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;37.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 56 à 60 ans;From 56 to 60;3.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;42.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;;;61 ans et plus;61 and more;818.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;61 ans et plus;61 and more;209.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;61 ans et plus;61 and more;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;;;;;61 ans et plus;61 and more;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;61 ans et plus;61 and more;9.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 5 à moins de 10 ans;From 5 to less than 10 years;;;2.0;nombre;number;§1.1.7
