Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Plage M3E;M3E classification;Genre;Gender;Valeur;Unité;Unit;Chapitre du bilan social
2023;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Maîtrise vers Cadre;Supervisor to Manager;;;Homme;Male;465.0;nombre;number;§1.5.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;36.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Maitrise;Supervisors;;;Homme;Male;0.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Maitrise;Supervisors;;;Femme;Female;0.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;5.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Homme;Male;20.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Cadre;Managers;;;Femme;Female;7175.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Maitrise;Supervisors;;;Homme;Male;4990.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Homme;Male;11049.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;9495.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Femme;Female;1578.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;E;E;Homme;Male;5829.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;H;H;Femme;Female;3337.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;;;sans plage;No classification;Femme;Female;9177.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Exécution vers Maîtrise;Operative to Supervisor;;;Femme;Female;117.0;nombre;number;§1.5.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Cadre;Managers;;;Femme;Female;753.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Maitrise;Supervisors;;;Femme;Female;340.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Execution;Operatives;;;Homme;Male;99.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Execution;Operatives;;;Femme;Female;36.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Execution;Operatives;;;Homme;Male;0.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Femme;Female;18.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Execution;Operatives;;;Homme;Male;0.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Homme;Male;1460.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Homme;Male;1189.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;B;B;Homme;Male;8716.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;C;C;Homme;Male;7074.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;C;C;Femme;Female;6478.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;F;F;Femme;Female;4450.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;sans plage;No classification;Homme;Male;8711.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;;;sans plage;No classification;Homme;Male;1425.0;€;€;§2.1.2.bis
2023;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Maîtrise vers Cadre;Supervisor to Manager;;;Femme;Female;172.0;nombre;number;§1.5.1
2023;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Exécution vers Maîtrise;Operative to Supervisor;;;Homme;Male;249.0;nombre;number;§1.5.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Cadre;Managers;;;Homme;Male;1883.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Homme;Male;59.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Homme;Male;16.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Femme;Female;9.0;M€;M€;§2.1.1
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Maitrise;Supervisors;;;Homme;Male;3888.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;3383.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Femme;Female;1260.0;€;€;§2.1.2
2023;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;A;A;Homme;Male;11099.0;€;€;§2.1.2.bis
